Year,No.,Round,Pick,Player,Name,Team,College
2023,1,1,8,8,Bijan Robinson,Falcons,Texas
NA,2,1,12,12,Jahmyr Gibbs,Lions,Alabama
NA,3,2,21,52,Zach Charbonnet,Seahawks,UCLA
NA,4,3,8,71,Kendre Miller,Saints,Texas Christian
NA,5,3,18,81,Tyjae Spears,Titans,Tulane
NA,6,3,21,84,Devon Achane,Dolphins,Texas A&M
NA,7,3,25,88,Tank Bigsby,Jaguars,Auburn
NA,8,4,13,115,Roschon Johnson,Bears,Texas
NA,9,5,8,143,Israel Abanikanda,Jets,Pittsburgh
NA,10,5,28,163,Chase Brown,Bengals,Illinois
NA,11,5,37,172,Eric Gray,Giants,Oklahoma
NA,12,5,41,176,Evan Hull,Colts,Northwestern
NA,13,6,16,193,Chris Rodriguez,Commanders,Kentucky
NA,14,6,35,212,Deuce Vaughn,Cowboys,Kansas State
NA,15,6,38,215,Zach Evans,Rams,Mississippi
NA,16,7,5,222,DeWayne McBride,Vikings,Alabama-Birmingham
NA,17,7,18,235,Lew Nichols,Packers,Central Michigan
NA,18,7,20,237,Kenny McIntosh,Seahawks,Georgia
2022,1,2,4,36,Breece Hall,Jets,Iowa State
NA,2,2,9,41,Kenneth Walker,Seahawks,Michigan State
NA,3,2,31,63,James Cook,Bills,Georgia
NA,4,3,27,91,Rachaad White,Buccaneers,Arizona State
NA,5,3,29,93,Tyrion Davis-Price,49ers,Louisiana State
NA,6,3,34,98,Brian Robinson,Commanders,Alabama
NA,7,4,2,107,Dameon Pierce,Texans,Florida
NA,8,4,17,122,Zamir White,Raiders,Georgia
NA,9,4,18,123,Isaiah Spiller,Chargers,Texas A&M
NA,10,4,22,127,Pierre Strong,Patriots,South Dakota State
NA,11,4,26,131,Hassan Haskins,Titans,Michigan
NA,12,5,8,151,Tyler Allgeier,Falcons,Brigham Young
NA,13,5,11,154,Snoop Conner,Jaguars,Mississippi
NA,14,5,13,156,Jerome Ford,Browns,Cincinnati
NA,15,5,21,164,Kyren Williams,Rams,Notre Dame
NA,16,5,26,169,Ty Chandler,Vikings,North Carolina
NA,17,6,4,183,Kevin Harris,Patriots,South Carolina
NA,18,6,17,196,Tyler Badie,Ravens,Missouri
NA,19,6,22,201,Keaontay Ingram,Cardinals,USC
NA,20,6,24,203,Trestan Ebner,Bears,Baylor
NA,21,6,29,208,Connor Heyward,Steelers,Michigan State
NA,22,7,29,250,Brittain Brown,Raiders,UCLA
NA,23,7,30,251,Isaih Pacheco,Chiefs,Rutgers
NA,24,7,39,260,Zander Horvath,Chargers,Purdue
2021,1,1,24,24,Najee Harris,Steelers,Alabama
NA,2,1,25,25,Travis Etienne,Jaguars,Clemson
NA,3,2,3,35,Javonte Williams,Broncos,North Carolina
NA,4,3,24,88,Trey Sermon,49ers,Ohio State
NA,5,4,2,107,Michael Carter,Jets,North Carolina
NA,6,4,14,119,Kene Nwangwu,Vikings,Iowa State
NA,7,4,15,120,Rhamondre Stevenson,Patriots,Oklahoma
NA,8,4,21,126,Chuba Hubbard,Panthers,Oklahoma State
NA,9,5,6,150,Kenneth Gainwell,Eagles,Memphis
NA,10,5,40,184,Ben Mason,Ravens,Michigan
NA,11,6,10,194,Elijah Mitchell,49ers,Louisiana-Lafayette
NA,12,6,12,196,Gary Brightwell,Giants,Arizona
NA,13,6,14,198,Larry Rountree,Chargers,Missouri
NA,14,6,18,202,Chris Evans,Bengals,Michigan
NA,15,6,27,211,Demetric Felton,Browns,UCLA
NA,16,6,33,217,Khalil Herbert,Bears,Virginia Tech
NA,17,7,5,233,Jake Funk,Rams,Maryland
NA,18,7,17,244,Gerrid Doaks,Dolphins,Cincinnati
NA,19,7,29,256,Kylin Hill,Packers,Mississippi State
NA,20,7,30,257,Jermar Jefferson,Lions,Oregon State
2020,1,1,32,32,Clyde Edwards-Helaire,Chiefs,Louisiana State
NA,2,2,3,35,D'Andre Swift,Lions,Georgia
NA,3,2,9,41,Jonathan Taylor,Colts,Wisconsin
NA,4,2,20,52,Cam Akers,Rams,Florida State
NA,5,2,23,55,J.K. Dobbins,Ravens,Ohio State
NA,6,2,30,62,AJ Dillon,Packers,Boston College
NA,7,3,12,76,Ke'Shawn Vaughn,Buccaneers,Vanderbilt
NA,8,3,22,86,Zack Moss,Bills,Utah
NA,9,3,29,93,Darrynton Evans,Titans,Appalachian State
NA,10,4,6,112,Joshua Kelley,Chargers,UCLA
NA,11,4,14,120,Lamical Perine,Jets,Florida
NA,12,4,18,124,Anthony McFarland,Steelers,Maryland
NA,13,4,38,144,DeeJay Dallas,Seahawks,Miami (FL)
NA,14,5,26,172,Jason Huntley,Lions,New Mexico State
NA,15,7,8,222,Eno Benjamin,Cardinals,Arizona State
NA,16,7,31,245,Raymond Calais,Buccaneers,Louisiana-Lafayette
2019,1,1,24,24,Josh Jacobs,Raiders,Alabama
NA,2,2,21,53,Miles Sanders,Eagles,Penn State
NA,3,3,6,70,Darrell Henderson,Rams,Memphis
