Year,Player,School,Conf,G,Rushing.Avg,Rushing.TD,Receiving.Rec,Receiving.Avg,Receiving.TD,Scrimmage.Avg,Scrimmage.TD,Rushing.Yds.PG,Receiving.Yds.PG,Scrimmage.Yds.PG,Rushing.Att.PG,PPG.Off,SRS.SOS,Overall.Pct
1990,Nikki Fisher,Virginia,ACC,11,7,10,2,5.5,0,7,10,77.0909090909091,1,78.0909090909091,11,38.7,3.48,0.667
1990,Chuck Weatherspoon,Houston,SWC,11,6.9,7,49,11.4,6,8,13,99.72727272727273,50.90909090909091,150.63636363636363,14.363636363636363,46.5,-1.25,0.909
1990,Bucky Richardson,Texas A&M,SWC,12,6.9,8,0,0,0,6.9,8,55.833333333333336,0,55.833333333333336,8.083333333333334,35.8,0.49,0.731
1990,Adam Dach,Northern Illinois,Ind,11,6.8,5,2,4,0,6.7,5,87.81818181818181,0.7272727272727273,88.54545454545455,13,30.3,-5.75,0.545
1990,Peter Tuipulotu,Brigham Young,WAC,12,6.5,9,28,9,2,7.1,11,53.083333333333336,21.083333333333332,74.16666666666667,8.166666666666666,40.3,1.3,0.769
1990,Stacey Robinson,Northern Illinois,Ind,11,6.4,19,1,2,0,6.4,19,112.54545454545455,0.18181818181818182,112.72727272727273,17.545454545454547,30.3,-5.75,0.545
1990,Robert Smith,Ohio State,Big Ten,12,6.4,8,10,11.2,0,6.6,8,93.83333333333333,9.333333333333334,103.16666666666667,14.75,29.1,3.3,0.625
1990,Jon Vaughn,Michigan,Big Ten,12,6.3,9,20,6.2,0,6.3,9,113.66666666666667,10.25,123.91666666666667,18,32.4,6.11,0.75
1990,Leodis Flowers,Nebraska,Big 8,9,6.3,9,0,0,0,6.3,9,104.44444444444444,0,104.44444444444444,16.555555555555557,36.2,3.64,0.75
1990,T.C. Wright,San Diego State,WAC,11,6.3,6,10,6.6,1,6.3,7,66.36363636363636,6,72.36363636363636,10.545454545454545,41.7,1.22,0.545
1990,Scott Baldwin,Nebraska,Big 8,10,6.3,5,2,16.5,0,6.5,5,57.9,3.3,61.2,9.2,36.2,3.64,0.75
1990,Terry Kirby,Virginia,ACC,11,6.2,7,33,9.8,4,6.8,11,92.72727272727273,29.454545454545453,122.18181818181819,15,38.7,3.48,0.667
1990,Nick Bell,Iowa,Big Ten,12,6.1,12,21,14.7,2,7,14,84.08333333333333,25.666666666666668,109.75,13.833333333333334,35.6,5.39,0.667
1990,Mickey Joseph,Nebraska,Big 8,11,6.1,10,0,0,0,6.1,10,50.36363636363637,0,50.36363636363637,8.272727272727273,36.2,3.64,0.75
1990,Mike McKinley,Oklahoma,Big 8,11,6.1,6,1,6,0,6.1,6,48.54545454545455,0.5454545454545454,49.09090909090909,8,36.5,4.29,0.727
1990,Randy Baldwin,Ole Miss,SEC,11,6,11,14,9.8,2,6.3,13,88.18181818181819,12.454545454545455,100.63636363636364,14.818181818181818,21.7,-1.18,0.75
1990,Carlos Thomas,Vanderbilt,SEC,11,6,6,3,9,0,6.1,6,61.81818181818182,2.4545454545454546,64.27272727272727,10.272727272727273,20.6,0.35,0.091
1990,Gerald Hudson,Oklahoma State,Big 8,11,5.9,10,9,2.8,0,5.8,10,149.27272727272728,2.272727272727273,151.54545454545453,25.363636363636363,21.2,3.47,0.364
1990,Leonard Conley,Miami (FL),Ind,11,5.9,6,13,13.3,1,7,7,42.18181818181818,15.727272727272727,57.90909090909091,7.090909090909091,37.3,7.9,0.833
1990,Darren Lewis,Texas A&M,SWC,12,5.8,18,6,8,1,5.9,19,140.91666666666666,4,144.91666666666666,24.25,35.8,0.49,0.731
1990,Tony Thompson,Tennessee,SEC,12,5.8,16,5,13.2,0,5.9,16,105.08333333333333,5.5,110.58333333333333,18.25,35.8,2.93,0.769
1990,Jason Jones,Air Force,WAC,11,5.8,7,1,24,0,6,7,54.36363636363637,2.1818181818181817,56.54545454545455,9.363636363636363,21.8,-0.22,0.583
1990,Eric Bieniemy,Colorado,Big 8,11,5.7,17,13,12.2,0,5.9,17,148,14.454545454545455,162.45454545454547,26.181818181818183,30.7,9.06,0.885
1990,Jason Davis,Louisiana Tech,Ind,10,5.7,8,13,10.2,1,6,9,92.9,13.3,106.2,16.4,30.4,-7.05,0.708
1990,Dewell Brewer,Oklahoma,Big 8,11,5.7,8,3,13.3,0,5.8,8,79.27272727272727,3.6363636363636362,82.9090909090909,14,36.5,4.29,0.727
1990,Errict Rhett,Florida,SEC,11,5.7,4,22,9,1,6.1,5,76.81818181818181,18,94.81818181818181,13.454545454545455,35.2,0.4,0.818
1990,Corey Sylve,Western Michigan,MAC,11,5.7,6,21,12.1,1,6.5,7,76.36363636363636,23.09090909090909,99.45454545454545,13.363636363636363,22.6,-11.01,0.636
1990,Mark Brus,Tulsa,Ind,10,5.7,4,3,26,0,6.2,4,57.1,7.8,64.9,10.1,16.6,-3.67,0.273
1990,Greg Lewis,Washington,Pac-10,11,5.6,8,20,17.3,1,6.5,9,116.27272727272727,31.363636363636363,147.63636363636363,20.818181818181817,36.7,6.87,0.833
1990,Russell White,California,Pac-10,11,5.6,11,15,8.5,2,5.8,13,90.9090909090909,11.545454545454545,102.45454545454545,16.363636363636363,27.1,7.13,0.625
1990,Chris Hughley,Tulsa,Ind,10,5.6,4,20,7.1,2,5.8,6,70,14.2,84.2,12.6,16.6,-3.67,0.273
