Rushing.Avg,Rushing.TD,Receiving.Rec,Receiving.Avg,Receiving.TD,Scrimmage.Avg,Scrimmage.TD,Rushing.Yds.PG,Receiving.Yds.PG,Scrimmage.Yds.PG,Rushing.Att.PG,SRS.SOS,NFL.Rushing.Avg
6.4,8,10,11.2,0,6.6,8,93.83333333333333,9.333333333333334,103.16666666666667,14.75,3.3,4.816666666666666
6.3,9,20,6.2,0,6.3,9,113.66666666666667,10.25,123.91666666666667,18,6.11,4
6.2,7,33,9.8,4,6.8,11,92.72727272727273,29.454545454545453,122.18181818181819,15,3.48,3.6666666666666665
5.8,18,6,8,1,5.9,19,140.91666666666666,4,144.91666666666666,24.25,0.49,4.2
5.7,4,22,9,1,6.1,5,76.81818181818181,18,94.81818181818181,13.454545454545455,0.4,3.475
5.4,8,7,8.3,0,5.5,8,52.63636363636363,5.2727272727272725,57.90909090909091,9.818181818181818,9.23,4.111111111111111
5.1,10,24,9.5,1,5.6,11,77.18181818181819,20.818181818181817,98,15.272727272727273,2.52,3.533333333333333
4.9,13,16,7.6,0,5.1,13,102,10.166666666666666,112.16666666666667,20.833333333333332,1.63,3.7
4.8,2,64,9.9,2,6.3,4,66.27272727272727,57.45454545454545,123.72727272727273,13.818181818181818,8,3.5
4.7,9,22,11.7,1,5.4,10,73.63636363636364,23.363636363636363,97,15.818181818181818,5.4,3.4
4.6,7,15,10.1,1,5,8,86.63636363636364,13.818181818181818,100.45454545454545,18.636363636363637,1.03,3.75
4.4,5,7,6.4,0,4.5,5,65.18181818181819,4.090909090909091,69.27272727272727,14.727272727272727,4.22,4.275
4.4,8,7,6,1,4.5,9,43.25,3.5,46.75,9.916666666666666,3.3,3.8499999999999996
4.4,4,9,5,1,4.4,5,30.23076923076923,3.4615384615384617,33.69230769230769,6.923076923076923,7.35,3.5
4.4,2,10,9.3,0,4.9,2,32.63636363636363,8.454545454545455,41.09090909090909,7.454545454545454,5.87,4.225
4.2,5,30,6.2,1,4.4,6,91.81818181818181,16.818181818181817,108.63636363636364,21.818181818181817,-13.85,3.85
4.2,4,11,7.8,0,4.4,4,59.72727272727273,7.818181818181818,67.54545454545455,14.363636363636363,0.13,3.8
4,5,10,5.2,0,4.1,5,33.36363636363637,4.7272727272727275,38.09090909090909,8.272727272727273,7.71,3.75
3.8,8,20,12.3,0,4.8,8,52.09090909090909,22.272727272727273,74.36363636363636,13.818181818181818,5.87,3.7
3.5,6,9,9.6,0,4,6,33.09090909090909,7.818181818181818,40.90909090909091,9.454545454545455,1.9,3.4
7.1,21,17,11.8,2,7.5,23,119.08333333333333,16.75,135.83333333333334,16.75,-1.08,4.318181818181818
7,5,28,10.4,0,7.6,5,89.9090909090909,26.454545454545453,116.36363636363636,12.818181818181818,-11.37,3.6
